id,added,edited,beerdb_id,name,brewer,style,edition,abv,calories_oz,carbs_oz,original_gravity,specific_gravity,description,image,untappd_beer_id
5096,2013-07-09 00:14:09.568714+00:00,2013-07-09 00:14:09.577339+00:00,,Tailgate Sweet Stout,1233,21,,6.5999999999999996,,,,,"Bronze medal award winner - Sweet Stout Category Ã¢â‚¬â€œ California State Fair 2008 Commercial Craft Brew Competition

DonÃ¢â‚¬â„¢t be afraid of the dark. This Sweet Stout is a surprisingly charming, and yet extremely robust ale that spills a soothing bouquet of caramel, chocolate and lightly roasted oats.  As a truly unique foray into the world of stout ales, this sweet stout drinks so light you might be surprised at how apt you are to enjoy the darkest of TailGate BeerÃ¢â‚¬â„¢s. The flavors are so rich and smooth that this TGB Sweet Stout can cool you on the hottest of days and warm you in the worst that winter can bring. Here is heaven in a bottle. If it weren't so wrong, this is what you wish mom could have given you in your baby bottle.  Treat yourself right and enjoy an experience that is the best dessert to pass through your lips since mom last made her best fruit pie for you.",,
5097,2013-07-09 00:14:09.593512+00:00,2013-07-09 00:14:09.601758+00:00,,Tailgate Light,1233,97,,4.7000000000000002,,,,,"Why settle for a watered down version of delicious barley and hops when the TailGate Beer Light will make you a convert to the world of light ales. Eat hardy, and enjoy a light beer with serious flavor, lower calories and the most serious attention to the powers that flavor beer.  A nose of citrus and spice with a tongue of vanilla are just a few of the very unique flavors to grace your senses in this Light Ale.  This is the light beer lovers of beer have been waiting for.  This is not a watered down version of a good idea.",,
5098,2013-07-09 00:14:09.616080+00:00,2013-07-09 00:14:09.622860+00:00,,Tailgate Hefeweizen,1233,51,,5.0,,,,,"TailGate Beer does the German style wheat beer right. Hints of citrus, complemented by sprinkles of spice that makes a German, full flavored brew that is really hard to say right.  Proud of the names â€˜weizenÃ¢â‚¬â„¢ (wheat) base ingredient, TGB draws most of its flavor from the famed grass plant. This Hef is one truly crisp, and refreshing unfiltered ale that garnishes well with a lemon or an orange!   Be sure to impress your friends with your fine tuned palate and sophisticated verbiage next time you belly up to order your TailGate Beer Ã¢â‚¬Å“HEH-feh-vite-zehnÃ¢â‚¬Â",,
5099,2013-07-09 00:14:09.647580+00:00,2013-07-09 00:14:09.669556+00:00,,Beer,1234,96,,,,,,,,,
5100,2013-07-09 00:14:09.695497+00:00,2013-07-09 00:14:09.708298+00:00,,Old Elephant Foot IPA,1235,32,,,,,,,,,
5101,2013-07-09 00:14:09.829522+00:00,2013-07-09 00:14:09.852737+00:00,,Tap Room No. 21 Amber Ale,1236,34,,5.7000000000000002,,,,,,,
5102,2013-07-09 00:14:09.879654+00:00,2013-07-09 00:14:09.898089+00:00,,Dark Satin,1237,87,,,,,,,,,
5103,2013-07-09 00:14:09.945344+00:00,2013-07-09 00:14:09.970606+00:00,,Palpitations Porter,1237,26,,,,,,,,,
5104,2013-07-09 00:14:09.986950+00:00,2013-07-09 00:14:10.010722+00:00,,Prime I.P.A.,1237,27,,,,,,,,,
5105,2013-07-09 00:14:10.024016+00:00,2013-07-09 00:14:10.033751+00:00,,Very Pale Ale,1237,27,,,,,,,,,
5106,2013-07-09 00:14:10.065963+00:00,2013-07-09 00:14:10.071459+00:00,,Weisen,1237,51,,,,,,,,,
5107,2013-07-09 00:14:10.088304+00:00,2013-07-09 00:14:10.097138+00:00,,Traditional India Pale Ale,1238,27,,,,,,,,,
5108,2013-07-09 00:14:10.113481+00:00,2013-07-09 00:14:10.132921+00:00,,Mad Scow Stout,1238,43,,,,,,,,,
5109,2013-07-09 00:14:10.211071+00:00,2013-07-09 00:14:10.231888+00:00,,Red Truck Ale,1238,34,,,,,,,,,
5110,2013-07-09 00:14:10.417414+00:00,2013-07-09 00:14:10.423827+00:00,,Two Lions Pale Ale,1238,27,,,,,,,,,
5111,2013-07-09 00:14:10.437177+00:00,2013-07-09 00:14:10.454297+00:00,,Baden Powell Cream Ale,1238,96,,,,,,,,,
5112,2013-07-09 00:14:10.475788+00:00,2013-07-09 00:14:10.490284+00:00,,Dominion Lager,1238,96,,,,,,,,,
